Files,Scanner Results
eurosym.license,Eurosym [N][M: 97%][Sc: 100%]; Zlib [N]
examdiff.license,Non-commercial [N]; LicenseRef-scancode-examdiff [Sc: 100%]
excelsior-jet-runtime.license,UnclassifiedLicense [N]; LicenseRef-scancode-excelsior-jet-runtime [Sc: 100%]
fabien-tassin.license,No_license_found [N]; LicenseRef-scancode-fabien-tassin [Sc: 100%]
fabric-agreement-2017.license,Restricted-rights [N]; LicenseRef-scancode-fabric-agreement-2017 [Sc: 100%]
facebook-nuclide.license,UnclassifiedLicense [N]; LicenseRef-scancode-facebook-nuclide [Sc: 100%]
facebook-patent-rights-2.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown [Sc: 99%]; LicenseRef-scancode-facebook-patent-rights-2 [Sc: 100%]
facebook-software-license.license,MIT-style [N]; LicenseRef-scancode-facebook-software-license [Sc: 100%]
fair-source-0.9.license,See-URL [N]; LicenseRef-scancode-fair-source-0.9 [Sc: 100%]
fair.license,Fair [N][M: 72%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
fancyzoom.license,Non-commercial [N]; LicenseRef-scancode-fancyzoom [Sc: 100%]
far-manager-exception.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-HP [M: 91%]; LicenseRef-scancode-far-manager-exception [Sc: 100%]
fastbuild-2012-2020.license,Zlib [N][M: 84%]; LicenseRef-scancode-fastbuild-2012-2020 [Sc: 100%]
fastcgi-devkit.license,GPL [N]; OpenMarket [N][M: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; OML [Sc: 100%]
fatfs.license,See-URL [N]; LicenseRef-scancode-fatfs [Sc: 100%]
fawkes-runtime-exception.license,Fawkes-Runtime-exception [N][M: 100%][Sc: 50%]; GPL-2.0-only [N][Sc: 100%]; GPL-2.0-or-later [Sc: 50%]
fbm.license,UnclassifiedLicense [N]; FBM [M: 81%]; LicenseRef-scancode-other-permissive [Sc: 100%]
fcl-1.0-apache-2.0.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
fcl-1.0-mit.license,MIT [N][M: 95%][Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ferguson-twofish.license,GPL [N]; Ferguson-Twofish [M: 100%]; LicenseRef-scancode-niels-ferguson [Sc: 65%]
ffsl-1.license,CC-BY-SA-2.5 [N][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-proprietary-license [Sc: 99%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
fftpack-2004.license,BSD-style [N]; LicenseRef-scancode-fftpack-2004 [Sc: 100%]
filament-group-mit.license,MIT [N][M: 95%][Sc: 100%]; LicenseRef-scancode-filament-group-mit [Sc: 100%]
first-epss-usage.license,UnclassifiedLicense [N]; No_license_found [Sc]
first-works-appreciative-1.2.license,Non-commercial [N]; LicenseRef-scancode-first-works-appreciative-1.2 [Sc: 100%]
flex-2.5.license,BSD-3-Clause [N][Sc: 100%]; LicenseRef-scancode-flex-2.5 [Sc: 100%]
flex2sdk.license,Adobe-EULA [N]; LicenseRef-scancode-flex2sdk [Sc: 100%]
flora-1.1.license,Flora-1.1 [N]; Flora [M: 100%]; LicenseRef-scancode-flora-1.1 [Sc: 100%]
flowplayer-gpl-3.0.license,GPL-3.0-or-later [N]; GPL-3.0-only [Sc: 100%]; LicenseRef-scancode-flowplayer-gpl-3.0 [Sc: 100%]
fltk-exception-lgpl-2.0.license,FLTK-exception [N][M: 100%][Sc: 50%]; LGPL-2.0-only [N][Sc: 80%]
font-alias.license,Freeware [N]; LicenseRef-scancode-font-alias [Sc: 100%]
font-exception-gpl.license,Font-exception-2.0 [N][M: 100%][Sc: 100%]; GPL [N]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-or-later [Sc: 95%]
foobar2000.license,See-URL [N]; BSD-Source-Code [M: 69%]; LicenseRef-scancode-foobar2000 [Sc: 100%]
fpdf.license,MIT-style [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
fpl.license,No_license_found [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-fpl [Sc: 100%]
fplot.license,HP-DEC-style [N]; LicenseRef-scancode-fplot [Sc: 100%]
frameworx-1.0.license,Frameworx-1.0 [N][M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
fraunhofer-fdk-aac-codec.license,AndroidFraunhofer.Commercial [N]; FDK-AAC [M: 100%][Sc: 100%]
fraunhofer-iso-14496-10.license,UnclassifiedLicense [N]; MPEG-SSG [M: 67%]; LicenseRef-scancode-fraunhofer-iso-14496-10 [Sc: 100%]
free-art-1.3.license,FAL-1.3 [N][M: 98%]; LicenseRef-scancode-free-art-1.3 [Sc: 100%]
free-fork.license,U-Wash.Free-Fork [N]; LicenseRef-scancode-free-fork [Sc: 100%]
free-surfer-1.0.license,GPL [N]; LicenseRef-scancode-3dslicer-1.0 [Sc: 94%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
free-unknown.license,No_license_found [N]; LicenseRef-scancode-free-unknown [Sc: 50%]
freebsd-boot.license,Freeware [N]; LicenseRef-scancode-freebsd-boot [Sc: 100%]
freebsd-doc.license,UnclassifiedLicense [N]; BSD-2-Clause [M: 81%]; DOC [Sc: 100%]; FreeBSD-DOC [Sc: 100%]
freebsd-first.license,BSD-style [N]; BSD-2-Clause [M: 80%]; LicenseRef-scancode-freebsd-first [Sc: 100%]
freeimage-1.0.license,MPL-style [N]; FreeImage [M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
freemarker.license,Apache-2.0 [N][Sc: 100%]; BSD-style [N]; LGPL [N]; LicenseRef-scancode-freemarker [Sc: 100%]
freertos-exception-2.0.license,GPL-2.0-or-later [N][Sc: 100%]; freertos-exception-2.0 [N][M: 98%][Sc: 50%]; GPL-2.0-only [Sc: 100%]; GPL-1.0-or-later [Sc: 100%]
freetts.license,CMU [N]; MIT-Festival [M: 90%]; LicenseRef-scancode-freetts [Sc: 100%]
freetype-patent.license,FTL [N]; LicenseRef-scancode-unknown [Sc: 99%]; Apache-2.0 [Sc: 100%]; LicenseRef-scancode-freetype-patent [Sc: 100%]
freetype.license,FTL [N][M: 98%][Sc: 100%]; IJG [N]
froala-owdl-1.0.license,OFL-1.1 [N][Sc: 50%]; LicenseRef-scancode-froala-owdl-1.0 [Sc: 100%]
frontier-1.0.license,Artistic-1.0 [N][M: 88%]; Artistic-2.0 [Sc: 100%]; LicenseRef-scancode-frontier-1.0 [Sc: 100%]
fsf-ap.license,FSFAP [N][M: 100%][Sc: 100%]; LicenseRef-scancode-other-copyleft [Sc: 80%]
fsf-free.license,FSFUL [N][M: 70%][Sc: 50%]; Public-domain [N]; AGPL-3.0-only [Sc: 50%]; LicenseRef-scancode-public-domain [Sc: 70%]
fsf-notice.license,GPL [N]; LicenseRef-scancode-free-unknown [Sc: 81%]; GPL-1.0-or-later [Sc: 100%]
fsf-unlimited-no-warranty.license,FSFULLR [N][M: 82%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; FSFUL [Sc: 100%]; LicenseRef-scancode-fsf-unlimited-no-warranty [Sc: 100%]
fsf-unlimited.license,FSFULLR [N][M: 82%][Sc: 50%]; FSFUL [Sc: 100%]
fsfap-no-warranty-disclaimer.license,FSFAP [N][M: 76%][Sc: 50%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]
fsl-1.0-apache-2.0.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
fsl-1.0-mit.license,MIT [N][M: 95%][Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
fsl-1.1-apache-2.0.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
fsl-1.1-mit.license,MIT [N][M: 95%][Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ftdi.license,No_license_found [N]; LicenseRef-scancode-ftdi [Sc: 100%]
ftpbean.license,UnclassifiedLicense [N]; LicenseRef-scancode-ftpbean [Sc: 100%]
fujion-exception-to-apache-2.0.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
furuseth.license,BSD-style [N]; LicenseRef-scancode-bsd-original-uc-1986 [Sc: 69%]
fwlw.license,No_license_found [N][Sc]
g10-permissive.license,FSFULLR [N]; LicenseRef-scancode-fsf-unlimited-no-warranty [Sc: 100%]
gareth-mccaughan.license,UnclassifiedLicense [N]; LicenseRef-scancode-gareth-mccaughan [Sc: 100%]
gary-s-brown.license,Freeware [N]; LicenseRef-scancode-gary-s-brown [Sc: 100%]
gatling-highcharts.license,UnclassifiedLicense [N]; No_license_found [Sc]
gcc-compiler-exception-2.0.license,GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-gcc-compiler-exception-2.0 [Sc: 100%]
gcc-exception-2.0-note.license,GCC-exception-2.0 [N][Sc: 50%]; linking-exception [N]; GCC-exception-2.0-note [M: 100%]; LGPL-2.0-or-later [Sc: 99%]; LicenseRef-scancode-unlimited-link-exception-lgpl [Sc: 100%]
gcc-exception-3.0.license,GCC-exception-3.1 [N][Sc: 100%]; GPL-3.0-only [N][Sc: 100%]; GPL-3.0-with-GCC-exception [M: 92%]; LicenseRef-scancode-exception-3.0 [Sc: 100%]
gcc-exception-3.1.license,GCC-exception-3.1 [N][Sc: 50%]; GPL-3.0-or-later [N][Sc: 100%]; GPL-3.0-with-GCC-exception [M: 98%]; GPL-3.0-only [Sc: 99%]
gcc-linking-exception-2.0.license,GCC-exception-2.0 [N][M: 98%][Sc: 50%]; GPL-2.0-or-later [N][Sc: 50%]; GPL-2.0-with-GCC-exception [M: 87%]; GCC-exception-3.1 [Sc: 100%]; GPL-2.0-only [Sc: 100%]
gcel-2022.license,Apache-2.0 [N][M: 80%][Sc: 100%]; LicenseRef-scancode-gcel-2022 [Sc: 100%]
gco-v3.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-gco-v3.0 [Sc: 100%]
gcr-docs.license,Public-domain [N]; LicenseRef-scancode-other-copyleft [Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 100%]
gdcl.license,No_license_found [N]; LicenseRef-scancode-gdcl [Sc: 100%]
generic-amiwm.license,Non-commercial [N]; LicenseRef-scancode-proprietary-license [Sc: 90%]
generic-cla.license,UnclassifiedLicense [N]; LicenseRef-scancode-generic-cla [Sc: 100%]
generic-exception.license,GPL [N]; GPL-1.0-or-later [Sc: 50%]
generic-export-compliance.license,No_license_found [N][Sc]
generic-loop.license,HPND [N]; LicenseRef-scancode-carnegie-mellon [Sc: 78%]; NTP [Sc: 96%]
generic-tos.license,No_license_found [N][Sc]
generic-trademark.license,No_license_found [N][Sc]
genivia-gsoap.license,gSOAP [N]; LicenseRef-scancode-genivia-gsoap [Sc: 100%]
genode-agpl-3.0-exception.license,AGPL-3.0-only [N][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-genode-agpl-3.0-exception [Sc: 100%]
geoff-kuenning-1993.license,BSD-3-Clause [N]; BSD-4-Clause [M: 72%]; LicenseRef-scancode-geoff-kuenning-1993 [Sc: 100%]
geoserver-exception-2.0-plus.license,EPL-1.0 [N]; GPL-2.0-or-later [N][Sc: 50%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-geoserver-exception-2.0-plus [Sc: 100%]
gfdl-1.1-invariants-only.license,GFDL-1.1-only [N][M: 100%][Sc: 100%]; GFDL-1.1-invariants-only [Sc: 66%]; GFDL-1.1-no-invariants-only [Sc: 100%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.1-invariants-or-later.license,GFDL-1.1-only [N][M: 100%][Sc: 100%]; GFDL-1.1-or-later [Sc: 50%]; GFDL-1.1-invariants-or-later [Sc: 75%]; GFDL-1.1-no-invariants-or-later [Sc: 100%]
gfdl-1.1-no-invariants-only.license,GFDL-1.1-only [N][M: 100%][Sc: 100%]; GFDL-1.1-no-invariants-only [Sc: 75%]; GFDL-1.1-invariants-only [Sc: 100%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.1-no-invariants-or-later.license,GFDL-1.1-only [N][M: 100%][Sc: 100%]; GFDL-1.1-or-later [Sc: 50%]; GFDL-1.1-no-invariants-or-later [Sc: 77%]; GFDL-1.1-invariants-or-later [Sc: 100%]
gfdl-1.1-plus.license,GFDL-1.1-only [N][M: 100%][Sc: 100%]; GFDL-1.1-or-later [Sc: 50%]
gfdl-1.1.license,GFDL-1.1-only [N][M: 100%][Sc: 100%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.2-invariants-only.license,GFDL-1.2-only [N][M: 100%][Sc: 100%]; GFDL-1.2-invariants-only [Sc: 66%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.2-invariants-or-later.license,GFDL-1.2-only [N][M: 100%][Sc: 100%]; GFDL-1.2-invariants-or-later [Sc: 75%]; GFDL-1.1-or-later [Sc: 100%]; GFDL-1.2-or-later [Sc: 100%]
gfdl-1.2-no-invariants-only.license,GFDL-1.2-only [N][M: 100%][Sc: 100%]; GFDL-1.2-no-invariants-only [Sc: 75%]; GFDL-1.1-or-later [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
gfdl-1.2-no-invariants-or-later.license,GFDL-1.2-only [N][M: 100%][Sc: 100%]; GFDL-1.2-no-invariants-or-later [Sc: 77%]; GFDL-1.1-or-later [Sc: 100%]; GFDL-1.2-or-later [Sc: 100%]
gfdl-1.2-plus.license,GFDL-1.2-only [N][M: 100%][Sc: 50%]; GFDL-1.2-or-later [Sc: 50%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.2.license,GFDL-1.2-only [N][M: 100%][Sc: 50%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.3-invariants-only.license,GFDL-1.3 [N]; GFDL-1.3-only [M: 100%][Sc: 100%]; GFDL-1.3-invariants-only [Sc: 66%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.3-invariants-or-later.license,GFDL-1.3 [N]; GFDL-1.3-only [M: 100%][Sc: 100%]; GFDL-1.1-or-later [Sc: 64%]; GFDL-1.3-invariants-or-later [Sc: 75%]; GFDL-1.3-or-later [Sc: 100%]
gfdl-1.3-no-invariants-only.license,GFDL-1.3 [N]; GFDL-1.3-only [M: 100%][Sc: 100%]; GFDL-1.3-no-invariants-only [Sc: 75%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; GFDL-1.1-or-later [Sc: 100%]
gfdl-1.3-no-invariants-or-later.license,GFDL-1.3 [N]; GFDL-1.3-only [M: 100%][Sc: 100%]; GFDL-1.3-no-invariants-or-later [Sc: 77%]; GFDL-1.3-or-later [Sc: 100%]
gfdl-1.3-plus.license,GFDL-1.3 [N]; GFDL-1.3-only [M: 100%][Sc: 50%]; GFDL-1.3-or-later [Sc: 50%]
gfdl-1.3.license,GFDL-1.3 [N]; GFDL-1.3-only [M: 100%][Sc: 50%]
ghostpdl-permissive.license,MIT-style [N]; LicenseRef-scancode-ghostpdl-permissive [Sc: 100%]
ghostscript-1988.license,GPL-1.0-only [N]; Ghostscript-GPL-1.1 [N]; LicenseRef-scancode-ghostscript-1988 [Sc: 100%]
github-codeql-terms-2020.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]; LicenseRef-scancode-free-unknown [Sc: 100%]
gitlab-ee.license,MIT-style [N]; LicenseRef-scancode-gitlab-ee [Sc: 100%]
gitleaks-action-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
gitpod-self-hosted-free-2020.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
gl2ps.license,GL2PS [N][M: 98%][Sc: 100%]; HP-DEC-style [N]
gladman-older-rijndael-code-use.license,PHP-possibility [N]; LicenseRef-scancode-gladman-older-rijndael-code [Sc: 100%]
glide.license,GPL [N]; Glide [N][M: 100%][Sc: 100%]
glulxe.license,Glulxe [N][Sc: 50%]
glut.license,Freeware [N]; NOT-public-domain [N]; LicenseRef-scancode-glut [Sc: 100%]
glwtpl.license,No_license_found [N]; GLWTPL [M: 100%][Sc: 100%]
gmsh-exception.license,GPL [N]; LicenseRef-scancode-strongswan-exception [Sc: 52%]
gnome-examples-exception.license,UnclassifiedLicense [N]; LicenseRef-scancode-generic-exception [Sc: 99%]
gnu-emacs-gpl-1988.license,GPL-1.0-only [N]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-gnu-emacs-gpl-1988 [Sc: 100%]
gnu-javamail-exception.license,GPL-2.0-only [N][Sc: 100%]; gnu-javamail-exception [N][M: 98%][Sc: 50%]; SWI-exception [M: 88%]; GPL-2.0-or-later [Sc: 50%]
gnuplot.license,gnuplot [N][M: 95%][Sc: 100%]
goahead.license,Non-commercial [N]; LicenseRef-scancode-goahead [Sc: 100%]
good-boy.license,No_license_found [N]; LicenseRef-scancode-good-boy [Sc: 100%]
google-analytics-tos-2015.license,Non-commercial [N]; LicenseRef-scancode-google-analytics-tos-2015 [Sc: 100%]
google-analytics-tos-2016.license,Non-commercial [N]; LicenseRef-scancode-google-analytics-tos-2016 [Sc: 100%]
google-analytics-tos-2019.license,Non-commercial [N]; LicenseRef-scancode-google-analytics-tos-2019 [Sc: 100%]
google-analytics-tos.license,Non-commercial [N]; LicenseRef-scancode-google-analytics-tos [Sc: 100%]
google-apis-tos-2021.license,UnclassifiedLicense [N]; LicenseRef-scancode-google-apis-tos-2021 [Sc: 100%]
google-cla.license,UnclassifiedLicense [N]; LicenseRef-scancode-generic-cla [Sc: 100%]; LicenseRef-scancode-google-cla [Sc: 100%]
google-corporate-cla.license,UnclassifiedLicense [N]; LicenseRef-scancode-generic-cla [Sc: 100%]; LicenseRef-scancode-google-corporate-cla [Sc: 100%]
google-maps-tos-2018-02-07.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2018-02-07 [Sc: 100%]
google-maps-tos-2018-05-01.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2018-05-01 [Sc: 100%]
google-maps-tos-2018-06-07.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2018-06-07 [Sc: 100%]
google-maps-tos-2018-07-09.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2018-07-09 [Sc: 100%]
google-maps-tos-2018-07-19.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2018-07-19 [Sc: 100%]
google-maps-tos-2018-10-01.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2018-10-01 [Sc: 100%]
google-maps-tos-2018-10-31.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2018-10-31 [Sc: 100%]
google-maps-tos-2019-05-02.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2019-05-02 [Sc: 100%]
google-maps-tos-2019-11-21.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2019-11-21 [Sc: 100%]
google-maps-tos-2020-04-02.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2020-04-02 [Sc: 100%]
google-maps-tos-2020-04-27.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2020-04-27 [Sc: 100%]
google-maps-tos-2020-05-06.license,Non-commercial [N]; LicenseRef-scancode-google-maps-tos-2020-05-06 [Sc: 100%]
google-ml-kit-tos-2022.license,No_license_found [N]; LicenseRef-scancode-google-ml-kit-tos-2022 [Sc: 100%]
google-patent-license-fuchsia.license,UnclassifiedLicense [N]; LicenseRef-scancode-google-patent-license-fuchsia [Sc: 100%]
google-patent-license-fuschia.license,UnclassifiedLicense [N]; LicenseRef-scancode-google-patent-license-fuchsia [Sc: 100%]
google-patent-license-golang.license,UnclassifiedLicense [N]; LicenseRef-scancode-google-patent-license-golang [Sc: 100%]
google-patent-license-webm.license,See-URL [N]; LicenseRef-scancode-google-patent-license-webm [Sc: 100%]
google-patent-license-webrtc.license,See-URL [N]; LicenseRef-scancode-google-patent-license-webrtc [Sc: 100%]
google-patent-license.license,UnclassifiedLicense [N]; LicenseRef-scancode-google-patent-license [Sc: 100%]
google-playcore-sdk-tos-2020.license,See-URL [N]; LicenseRef-scancode-google-playcore-sdk-tos-2020 [Sc: 100%]
google-tos-2013.license,Non-commercial [N]; LicenseRef-scancode-google-tos-2013 [Sc: 100%]
google-tos-2014.license,Non-commercial [N]; LicenseRef-scancode-google-tos-2014 [Sc: 100%]
google-tos-2017.license,Non-commercial [N]; LicenseRef-scancode-google-tos-2017 [Sc: 100%]
google-tos-2019.license,Non-commercial [N]; LicenseRef-scancode-google-tos-2019 [Sc: 100%]
google-tos-2020.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-google-tos-2020 [Sc: 100%]
gpl-1.0-plus.license,GPL-1.0-only [N][Sc: 100%]; GPL-1.0-or-later [M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
gpl-1.0.license,GPL-1.0-only [N][Sc: 100%]; GPL-1.0-or-later [M: 99%][Sc: 100%]; GPL-2.0-or-later [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
gpl-2.0-adaptec.license,GPL-2.0-only [N][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-or-later [Sc: 100%]; LicenseRef-scancode-gpl-2.0-adaptec [Sc: 100%]
gpl-2.0-autoconf.license,Autoconf-exception [N]; GPL-2.0-or-later [N][Sc: 100%]; Autoconf-exception-generic [M: 100%]; GPL-2.0-only [Sc: 100%]; Autoconf-exception-2.0 [Sc: 100%]; LicenseRef-scancode-autoconf-simple-exception-2.0 [Sc: 100%]
gpl-2.0-autoopts.license,GPL-2.0-or-later [N][Sc: 50%]; linking-exception [N]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-autoopts-exception-2.0 [Sc: 100%]
gpl-2.0-bison-2.2.license,Bison-exception-2.2 [N][Sc: 100%]; GPL-2.0-or-later [N][Sc: 50%]; GPL-2.0+-with-bison-exception [M: 93%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-bison.license,Bison-exception [N]; GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]; Bison-exception-2.2 [Sc: 100%]; LicenseRef-scancode-bison-exception-2.0 [Sc: 100%]
gpl-2.0-broadcom-linking.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-bcm-linking-exception-2.0 [Sc: 98%]; LicenseRef-scancode-commercial-license [Sc: 98%]
gpl-2.0-classpath.license,Classpath-exception-2.0 [N][M: 100%][Sc: 100%]; GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-cygwin.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-cygwin-exception-2.0 [Sc: 100%]; LicenseRef-scancode-commercial-license [Sc: 100%]
gpl-2.0-djvu.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-unknown [Sc: 99%]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-gpl-2.0-djvu [Sc: 100%]
gpl-2.0-font.license,Font-exception-2.0 [N][M: 100%][Sc: 100%]; GPL-2.0-or-later [N][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-freertos.license,GPL-2.0-or-later [N][Sc: 100%]; freertos-exception-2.0 [M: 98%][Sc: 50%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-gcc-compiler-exception.license,GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-gcc-compiler-exception-2.0 [Sc: 100%]
gpl-2.0-gcc.license,GCC-exception-2.0 [N][M: 100%][Sc: 100%]; GPL-2.0-or-later [N][Sc: 50%]; GPL-2.0-with-GCC-exception [M: 91%]; GPL-2.0-only [Sc: 100%]; GCC-exception-3.1 [Sc: 100%]
gpl-2.0-glibc.license,GPL-2.0-or-later [N][Sc: 100%]; mif-exception [N][M: 100%][Sc: 50%]; GPL-2.0-only [Sc: 100%]; GPL-1.0-or-later [Sc: 100%]
gpl-2.0-guile.license,GPL-2.0-or-later [N][Sc: 100%]; linking-exception [N]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-guile-exception-2.0 [Sc: 100%]
gpl-2.0-ice.license,Apache-2.0 [N]; GPL-2.0-only [N][Sc: 100%]; LGPL-2.1-only [N]; LicenseRef-scancode-ice-exception-2.0 [Sc: 100%]
gpl-2.0-independent-module-linking.license,Classpath-exception-2.0 [N][M: 100%][Sc: 100%]; GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-iolib.license,GPL-2.0-or-later [N][Sc: 100%]; linking-exception [N]; GNU-compiler-exception [M: 100%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-iolib-exception-2.0 [Sc: 100%]
gpl-2.0-iso-cpp.license,GPL-2.0-or-later [N][Sc: 100%]; mif-exception [N][M: 100%][Sc: 50%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-javascript.license,GPL-exception [N]; LGPL [N]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-javascript-exception-2.0 [Sc: 100%]; GPL-2.0-or-later [Sc: 100%]
gpl-2.0-kernel.license,GPL-2.0-only [N][Sc: 100%]; Linux-syscall-note [N][M: 100%][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]
gpl-2.0-koterov.license,GPL-2.0-or-later [N]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-gpl-2.0-koterov [Sc: 100%]
gpl-2.0-libgit2.license,GPL-2.0-only [N][Sc: 100%]; GPL-2.0-with-GCC-exception [M: 80%]; GCC-exception-2.0 [M: 87%][Sc: 100%]; GPL-1.0-or-later [Sc: 100%]
gpl-2.0-library.license,Classpath-exception-2.0 [N][Sc: 100%]; GPL-2.0-only [N][Sc: 100%]
gpl-2.0-libtool.license,GPL-2.0-or-later [N][Sc: 100%]; Libtool-exception [N][M: 100%][Sc: 50%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-lmbench.license,GPL-2.0-only [N][Sc: 100%]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-lmbench-exception-2.0 [Sc: 100%]
gpl-2.0-mysql-connector-odbc.license,GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-mysql-con-odbc-exception-2.0 [Sc: 100%]
gpl-2.0-mysql-floss.license,Apache-2.0 [N]; CDDL-1.0 [N]; GPL-2.0-or-later [N][Sc: 100%]; LGPL-2.0-only [N]; MIT [N]; MPL [N]; NCSA [N]; PHP [N]; W3C [N]; mysql-floss-exception [N]; Alfresco-FLOSS [M: 90%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-mysql-floss-exception-2.0 [Sc: 100%]
gpl-2.0-openjdk.license,GPL-2.0-or-later [N][Sc: 100%]; OpenJDK-assembly-exception-1.0 [N][M: 91%]; GPL-2.0+-with-classpath-exception [M: 93%]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-only [Sc: 100%]; Classpath-exception-2.0 [Sc: 100%]; LicenseRef-scancode-openjdk-exception [Sc: 100%]
