FileName,SPDXID,LicenseConcluded,LicenseComment,LicenseInfoInFile,FileCopyrightText
corporate-accountability-1.1.license,SPDXRef-item5129,NOASSERTION,,"      
  LicenseRef-scancode-corporate-accountability-1.1 AND   
  LicenseRef-fossology-MIT-style",NOASSERTION
corporate-accountability-commercial-1.1.license,SPDXRef-item4274,NOASSERTION,,"      
  LicenseRef-scancode-accountability-commercial-1.1 AND   
  LicenseRef-fossology-CCPL",NOASSERTION
cosl.license,SPDXRef-item4418,NOASSERTION,,"  
  BSD-3-Clause AND   
  LicenseRef-fossology-DARPA-Cougaar AND       
  LicenseRef-scancode-cosl AND       
  LicenseRef-scancode-free-unknown",NOASSERTION
cosli.license,SPDXRef-item4264,NOASSERTION,,"      
  LicenseRef-scancode-cosli AND       
  LicenseRef-scancode-free-unknown AND   
  LicenseRef-fossology-GPL AND   
  OpenSSL",NOASSERTION
couchbase-community.license,SPDXRef-item2839,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-couchbase-community",NOASSERTION
couchbase-enterprise.license,SPDXRef-item4878,NOASSERTION,,"  
  LicenseRef-fossology-See-file AND       
  LicenseRef-scancode-couchbase-enterprise",NOASSERTION
cpal-1.0.license,SPDXRef-item4046,NOASSERTION,,"  
  CPAL-1.0 AND       
  LicenseRef-scancode-free-unknown",NOASSERTION
cpal_1-0.license,SPDXRef-item2793,NOASSERTION,,"  
  SPL-1.0 AND   
  CPAL-1.0",NOASSERTION
cpl-0.5.license,SPDXRef-item4427,NOASSERTION,,"      
  LicenseRef-scancode-cpl-0.5 AND   
  LicenseRef-fossology-CPL-0.5",NOASSERTION
cpl-1.0.license,SPDXRef-item2843,NOASSERTION,,"  
  CPL-1.0 AND   
  EPL-1.0",NOASSERTION
cpl1-0-txt.license,SPDXRef-item4521,NOASSERTION,,"  
  CPL-1.0 AND   
  LicenseRef-fossology-CPL",NOASSERTION
cpm-2022.license,SPDXRef-item5167,NOASSERTION,,"      
  LicenseRef-scancode-cpm-2022 AND   
  LicenseRef-fossology-See-URL",NOASSERTION
cpol-1.0.license,SPDXRef-item4736,NOASSERTION,,"      
  LicenseRef-scancode-cpol-1.0 AND   
  LicenseRef-fossology-CPOL AND   
  CPOL-1.02",NOASSERTION
cpol-1.02.license,SPDXRef-item3382,NOASSERTION,,"  
  CPOL-1.02",NOASSERTION
cpp-core-guidelines.license,SPDXRef-item2816,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-cpp-core-guidelines",NOASSERTION
crapl-0.1.license,SPDXRef-item3237,NOASSERTION,,"      
  LicenseRef-scancode-crapl-0.1 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
crashlytics-agreement-2018.license,SPDXRef-item3317,NOASSERTION,,"      
  LicenseRef-scancode-crashlytics-agreement-2018 AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
crcalc.license,SPDXRef-item2691,NOASSERTION,,"  
  LicenseRef-fossology-MIT-style AND       
  LicenseRef-scancode-crcalc",NOASSERTION
cronyx.license,SPDXRef-item4240,NOASSERTION,,"      
  LicenseRef-scancode-other-permissive AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
crossword.license,SPDXRef-item4918,NOASSERTION,,"  
  Crossword",NOASSERTION
crunchbase-data-2019-12-17.license,SPDXRef-item3919,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
crypto-keys-redistribution.license,SPDXRef-item4404,NOASSERTION,,"  
  LicenseRef-fossology-GPL AND   
  GPL-1.0-or-later",NOASSERTION
cryptopp.license,SPDXRef-item2829,NOASSERTION,,"      
  LicenseRef-scancode-cryptopp AND   
  LicenseRef-fossology-Public-domain",NOASSERTION
crystal-stacker.license,SPDXRef-item3131,NOASSERTION,,"  
  CrystalStacker",NOASSERTION
csl-1.0.license,SPDXRef-item3165,NOASSERTION,,"  
  MIT AND   
  CC-BY-4.0 AND   
  Community-Spec-1.0",NOASSERTION
csla.license,SPDXRef-item3652,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND   
  LicenseRef-fossology-Not-for-sale AND       
  LicenseRef-scancode-csla",NOASSERTION
csprng.license,SPDXRef-item4570,NOASSERTION,,"      
  LicenseRef-scancode-csprng AND   
  LicenseRef-fossology-BSD-style",NOASSERTION
ctl-linux-firmware.license,SPDXRef-item3276,NOASSERTION,,"      
  LicenseRef-scancode-ctl-linux-firmware AND   
  LicenseRef-fossology-See-URL",NOASSERTION
cua-opl-1.0.license,SPDXRef-item4869,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  CUA-OPL-1.0",NOASSERTION
cube.license,SPDXRef-item2726,NOASSERTION,,"  
  Cube AND   
  Zlib",NOASSERTION
cubiware-software-1.0.license,SPDXRef-item5086,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-cubiware-software-1.0",NOASSERTION
cups-apple-os-exception.license,SPDXRef-item3842,NOASSERTION,,"  
  GPL-1.0-or-later AND       
  LicenseRef-scancode-cups-apple-os-exception AND   
  LicenseRef-fossology-LGPL AND   
  LGPL-2.0-or-later AND   
  LicenseRef-fossology-GPL",NOASSERTION
cups.license,SPDXRef-item3793,NOASSERTION,,"      
  LicenseRef-scancode-cups AND   
  LicenseRef-fossology-GPL AND   
  LGPL-2.0-only",NOASSERTION
curl.license,SPDXRef-item4330,NOASSERTION,,"  
  curl AND   
  LicenseRef-fossology-MIT-style",NOASSERTION
cve-tou.license,SPDXRef-item3390,NOASSERTION,,"      
  LicenseRef-scancode-cve-tou AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
cvw.license,SPDXRef-item4031,NOASSERTION,,"  
  LicenseRef-fossology-MitreCVW AND   
  GPL-2.0-only AND       
  LicenseRef-scancode-cvwl AND   
  MPL-1.0 AND   
  FreeImage AND   
  GPL-2.0-or-later AND   
  LicenseRef-fossology-Dual-license AND   
  GPL-1.0-or-later",NOASSERTION
cvwl.license,SPDXRef-item3130,NOASSERTION,,"  
  LicenseRef-fossology-Dual-license AND       
  LicenseRef-scancode-cvwl AND   
  GPL-2.0-only AND   
  MIT AND       
  LicenseRef-scancode-free-unknown AND   
  LicenseRef-fossology-MitreCVW",NOASSERTION
cwe-tou.license,SPDXRef-item3968,NOASSERTION,,"      
  LicenseRef-scancode-cwe-tou",NOASSERTION
cximage.license,SPDXRef-item4598,NOASSERTION,,"  
  LicenseRef-fossology-W3C-style AND       
  LicenseRef-scancode-cximage",NOASSERTION
cygwin-exception-2.0.license,SPDXRef-item4179,NOASSERTION,,"      
  LicenseRef-scancode-commercial-license AND       
  LicenseRef-scancode-cygwin-exception-2.0 AND   
  GPL-2.0-only",NOASSERTION
cygwin-exception-3.0.license,SPDXRef-item4090,NOASSERTION,,"  
  GPL-3.0-only AND   
  GPL-3.0-or-later AND       
  LicenseRef-scancode-cygwin-exception-3.0 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
cygwin-exception-lgpl-3.0-plus.license,SPDXRef-item4099,NOASSERTION,,"  
  LGPL-3.0-or-later AND   
  LGPL-3.0-only AND       
  LicenseRef-scancode-cygwin-exception-lgpl-3.0-plus",NOASSERTION
cypress-linux-firmware.license,SPDXRef-item3497,NOASSERTION,,"  
  LicenseRef-fossology-GPL AND       
  LicenseRef-scancode-cypress-linux-firmware",NOASSERTION
d-fsl-1.0-de.license,SPDXRef-item3775,NOASSERTION,,"      
  LicenseRef-scancode-d-fsl-1.0-en AND       
  LicenseRef-scancode-free-unknown AND   
  LicenseRef-fossology-GPL AND   
  GPL-1.0-or-later AND   
  D-FSL-1.0",NOASSERTION
d-fsl-1.0-en.license,SPDXRef-item4560,NOASSERTION,,"  
  D-FSL-1.0 AND       
  LicenseRef-scancode-d-fsl-1.0-en AND   
  GPL-1.0-or-later",NOASSERTION
d-zlib.license,SPDXRef-item4358,NOASSERTION,,"  
  Zlib AND       
  LicenseRef-scancode-d-zlib",NOASSERTION
damail.license,SPDXRef-item4944,NOASSERTION,,"      
  LicenseRef-scancode-damail",NOASSERTION
dante-treglia.license,SPDXRef-item4615,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-dante-treglia",NOASSERTION
datamekanix-license.license,SPDXRef-item4936,NOASSERTION,,"      
  LicenseRef-scancode-datamekanix-license",NOASSERTION
day-spec.license,SPDXRef-item4971,NOASSERTION,,"  
  LicenseRef-fossology-See-URL AND       
  LicenseRef-scancode-day-spec",NOASSERTION
dbad-1.1.license,SPDXRef-item4314,NOASSERTION,,"      
  LicenseRef-scancode-dbad-1.1 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
dbad.license,SPDXRef-item4273,NOASSERTION,,"      
  LicenseRef-scancode-dbad",NOASSERTION
dbcl-1.0.license,SPDXRef-item4871,NOASSERTION,,"      
  LicenseRef-scancode-dbcl-1.0 AND   
  ODbL-1.0",NOASSERTION
dbmx-foss-exception-1.0.9.license,SPDXRef-item3850,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  GPL-1.0-or-later AND   
  Python-2.0 AND   
  Artistic-1.0 AND   
  LicenseRef-fossology-MPL AND   
  LGPL-2.1-only AND   
  LicenseRef-fossology-PHP",NOASSERTION
dbmx-linking-exception-1.0.license,SPDXRef-item2833,NOASSERTION,,"  
  GPL-3.0-or-later AND   
  GPL-1.0-or-later",NOASSERTION
dco-1.1.license,SPDXRef-item5059,NOASSERTION,,"      
  LicenseRef-scancode-dco-1.1 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
dec-3-clause.license,SPDXRef-item3800,NOASSERTION,,"      
  LicenseRef-scancode-broadcom-cfe",NOASSERTION
defensive-patent-1.1.license,SPDXRef-item3675,NOASSERTION,,"      
  LicenseRef-scancode-defensive-patent-1.1 AND   
  LicenseRef-fossology-GPL",NOASSERTION
dejavu-font.license,SPDXRef-item3875,NOASSERTION,,"      
  LicenseRef-scancode-public-domain AND   
  LicenseRef-fossology-Bitstream AND   
  Bitstream-Vera AND   
  LicenseRef-fossology-Public-domain",NOASSERTION
delorie-historical.license,SPDXRef-item3104,NOASSERTION,,"  
  LicenseRef-fossology-BSD-style AND       
  LicenseRef-scancode-delorie-historical",NOASSERTION
dennis-ferguson.license,SPDXRef-item3962,NOASSERTION,,"      
  LicenseRef-scancode-dennis-ferguson",NOASSERTION
devblocks-1.0.license,SPDXRef-item4681,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-devblocks-1.0",NOASSERTION
dgraph-cla.license,SPDXRef-item3554,NOASSERTION,,"  
  Apache-2.0 AND       
  LicenseRef-scancode-dgraph-cla AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
dhb-lbnl-bsd-2007.license,SPDXRef-item4407,NOASSERTION,,"  
  BSD-3-Clause-LBNL AND   
  BSD-3-Clause",NOASSERTION
dhb-limited-bsd-2015.license,SPDXRef-item5021,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  BSD-3-Clause",NOASSERTION
dhtmlab-public.license,SPDXRef-item5141,NOASSERTION,,"      
  LicenseRef-scancode-dhtmlab-public",NOASSERTION
diffmark.license,SPDXRef-item4271,NOASSERTION,,"  
  diffmark AND       
  LicenseRef-scancode-public-domain AND       
  LicenseRef-scancode-other-copyleft AND   
  LicenseRef-fossology-Public-domain",NOASSERTION
digia-qt-commercial.license,SPDXRef-item4453,NOASSERTION,,"      
  LicenseRef-scancode-commercial-license AND       
  LicenseRef-scancode-digia-qt-commercial AND   
  LicenseRef-fossology-Qt.Commercial",NOASSERTION
digia-qt-exception-lgpl-2.1.license,SPDXRef-item2983,NOASSERTION,,"  
  LicenseRef-fossology-Nokia-Qt-exception-1.1 AND   
  LGPL-2.1-or-later AND   
  Qt-LGPL-exception-1.1 AND   
  LGPL-2.1-only",NOASSERTION
digia-qt-preview.license,SPDXRef-item4476,NOASSERTION,,"      
  LicenseRef-scancode-digia-qt-preview AND       
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-See-file",NOASSERTION
digirule-foss-exception.license,SPDXRef-item5227,NOASSERTION,,"  
  LGPL-2.0-only AND   
  MIT AND   
  ZPL-2.0 AND   
  CDDL-1.0 AND   
  NCSA AND   
  Python-2.0 AND   
  Artistic-1.0 AND   
  W3C AND   
  LicenseRef-fossology-MPL AND   
  GPL-2.0-only AND   
  DigiRule-FOSS-exception",NOASSERTION
divx-open-1.0.license,SPDXRef-item3830,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-divx-open-1.0 AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
divx-open-2.1.license,SPDXRef-item2796,NOASSERTION,,"      
  LicenseRef-scancode-divx-open-2.1 AND       
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
dl-de-by-1-0-de.license,SPDXRef-item2878,NOASSERTION,,"      
  LicenseRef-scancode-dl-de-by-1-0-de",NOASSERTION
dl-de-by-1-0-en.license,SPDXRef-item2875,NOASSERTION,,"      
  LicenseRef-scancode-dl-de-by-1-0-en",NOASSERTION
dl-de-by-2-0-de.license,SPDXRef-item3756,NOASSERTION,,"  
  DL-DE-BY-2.0",NOASSERTION
dl-de-by-2-0-en.license,SPDXRef-item4596,NOASSERTION,,"      
  LicenseRef-scancode-dl-de-by-2-0-en",NOASSERTION
dl-de-by-nc-1-0-de.license,SPDXRef-item2664,NOASSERTION,,"      
  LicenseRef-scancode-dl-de-by-nc-1-0-de",NOASSERTION
dl-de-by-nc-1-0-en.license,SPDXRef-item4325,NOASSERTION,,"      
  LicenseRef-scancode-dl-de-by-nc-1-0-en AND       
  LicenseRef-scancode-proprietary-license AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
dl-de-zero-2.0.license,SPDXRef-item3283,NOASSERTION,,"  
  DL-DE-ZERO-2.0",NOASSERTION
dmalloc.license,SPDXRef-item3013,NOASSERTION,,"      
  LicenseRef-scancode-dmalloc AND   
  LicenseRef-fossology-X11-style AND   
  LicenseRef-fossology-MIT-style",NOASSERTION
dmtf-2017.license,SPDXRef-item3109,NOASSERTION,,"  
  LicenseRef-fossology-WebM AND   
  BSD-3-Clause",NOASSERTION
do-no-harm-0.1.license,SPDXRef-item2766,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-do-no-harm-0.1 AND   
  Apache-2.0",NOASSERTION
docbook-schema.license,SPDXRef-item3412,NOASSERTION,,"  
  LicenseRef-fossology-DOCBOOK AND       
  LicenseRef-scancode-other-permissive AND   
  LicenseRef-fossology-W3C-style",NOASSERTION
docbook.license,SPDXRef-item4171,NOASSERTION,,"      
  LicenseRef-scancode-docbook AND   
  MIT",NOASSERTION
dom4j.license,SPDXRef-item3055,NOASSERTION,,"  
  Plexus AND   
  LicenseRef-fossology-GPL AND   
  LicenseRef-fossology-BSD-style AND       
  LicenseRef-scancode-unknown-license-reference AND   
  Apache-1.1",NOASSERTION
dos32a-extender.license,SPDXRef-item5190,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  BSD-2-Clause AND       
  LicenseRef-scancode-dos32a-extender",NOASSERTION
dotseqn.license,SPDXRef-item3265,NOASSERTION,,"  
  Dotseqn",NOASSERTION
doug-lea.license,SPDXRef-item4783,NOASSERTION,,"      
  LicenseRef-scancode-public-domain AND   
  LicenseRef-fossology-Public-domain",NOASSERTION
douglas-young.license,SPDXRef-item4633,NOASSERTION,,"      
  LicenseRef-scancode-douglas-young AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
dpl-1.1.license,SPDXRef-item2842,NOASSERTION,,"  
  LicenseRef-fossology-MPL-style AND       
  LicenseRef-scancode-dpl-1.1 AND   
  MPL-1.1 AND   
  CUA-OPL-1.0",NOASSERTION
dr-john-maddock.license,SPDXRef-item3230,NOASSERTION,,"      
  LicenseRef-scancode-mit-old-style AND   
  LicenseRef-fossology-MIT-CMU-style",NOASSERTION
drl-1.0.license,SPDXRef-item3576,NOASSERTION,,"  
  LicenseRef-fossology-MIT-style AND   
  DRL-1.0",NOASSERTION
drl-1.1.license,SPDXRef-item4845,NOASSERTION,,"  
  DRL-1.0 AND   
  LicenseRef-fossology-MIT-style",NOASSERTION
dropbear-2016.license,SPDXRef-item2971,NOASSERTION,,"  
  LicenseRef-fossology-WebM AND   
  SSH-short AND   
  BSD-3-Clause AND   
  X11 AND   
  MIT AND       
  LicenseRef-scancode-dropbear-2016",NOASSERTION
dropbear.license,SPDXRef-item4435,NOASSERTION,,"      
  LicenseRef-scancode-dropbear AND   
  BSD-2-Clause AND   
  BSD-3-Clause AND   
  SSH-short AND   
  MIT AND   
  LicenseRef-fossology-WebM",NOASSERTION
dsdp.license,SPDXRef-item4890,NOASSERTION,,"  
  LicenseRef-fossology-U-Chicago AND   
  DSDP",NOASSERTION
dtoa.license,SPDXRef-item3751,NOASSERTION,,"  
  LicenseRef-fossology-ATT AND   
  dtoa AND       
  LicenseRef-scancode-x11-lucent",NOASSERTION
dtree.license,SPDXRef-item4236,NOASSERTION,,"      
  LicenseRef-scancode-dtree",NOASSERTION
dual-bsd-gpl.license,SPDXRef-item3732,NOASSERTION,,"  
  LicenseRef-fossology-Dual-license AND   
  BSD-3-Clause AND   
  GPL-2.0-only AND   
  BSD-3-Clause-HP AND   
  GPL-1.0-or-later",NOASSERTION
dual-commercial-gpl.license,SPDXRef-item5025,NOASSERTION,,"  
  GPL-2.0-only AND   
  GPL-1.0-or-later AND       
  LicenseRef-scancode-dual-commercial-gpl",NOASSERTION
duende-sla-2022.license,SPDXRef-item3879,NOASSERTION,,"  
  LicenseRef-fossology-See-URL AND       
  LicenseRef-scancode-duende-sla-2022 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
dune-exception.license,SPDXRef-item4519,NOASSERTION,,"  
  LicenseRef-fossology-linking-exception AND   
  LicenseRef-fossology-GPL AND   
  GPL-2.0-only AND   
  gnu-javamail-exception AND   
  GPL-1.0-or-later AND       
  LicenseRef-scancode-dune-exception",NOASSERTION
dvipdfm.license,SPDXRef-item5082,NOASSERTION,,"  
  dvipdfm",NOASSERTION
dwtfnmfpl-3.0.license,SPDXRef-item5221,NOASSERTION,,"      
  LicenseRef-scancode-dwtfnmfpl-3.0 AND   
  WTFPL",NOASSERTION
dynamic-drive-tou.license,SPDXRef-item3247,NOASSERTION,,"  
  LicenseRef-fossology-Non-commercial AND       
  LicenseRef-scancode-dynamic-drive-tou",NOASSERTION
dynarch-developer.license,SPDXRef-item3636,NOASSERTION,,"      
  LicenseRef-scancode-dynarch-developer AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
dynarch-linkware.license,SPDXRef-item3977,NOASSERTION,,"      
  LicenseRef-scancode-dynarch-linkware AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
eCos-2.0.license,SPDXRef-item4911,NOASSERTION,,"  
  eCos-exception-2.0 AND   
  GPL-2.0-or-later AND   
  LicenseRef-fossology-eCos-2.0",NOASSERTION
eGenix.license,SPDXRef-item3120,NOASSERTION,,"  
  eGenix",NOASSERTION
ecfonts-1.0.license,SPDXRef-item2979,NOASSERTION,,"      
  LicenseRef-scancode-ecfonts-1.0",NOASSERTION
ecl-1.0.license,SPDXRef-item4963,NOASSERTION,,"  
  ECL-1.0 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
ecl-2.0.license,SPDXRef-item3144,NOASSERTION,,"  
  ECL-2.0 AND       
  LicenseRef-scancode-unknown AND       
  LicenseRef-scancode-unknown-license-reference AND   
  Apache-2.0",NOASSERTION
eclipse-sua-2001.license,SPDXRef-item4982,NOASSERTION,,"  
  LicenseRef-fossology-CPL-0.5 AND       
  LicenseRef-scancode-eclipse-sua-2001",NOASSERTION
eclipse-sua-2002.license,SPDXRef-item4389,NOASSERTION,,"      
  LicenseRef-scancode-eclipse-sua-2002 AND   
  CPL-1.0",NOASSERTION
eclipse-sua-2003.license,SPDXRef-item2874,NOASSERTION,,"  
  Apache-1.1 AND       
  LicenseRef-scancode-eclipse-sua-2003 AND   
  MPL-1.1 AND   
  CPL-1.0",NOASSERTION
eclipse-sua-2004.license,SPDXRef-item4293,NOASSERTION,,"      
  LicenseRef-scancode-eclipse-sua-2004 AND   
  CPL-1.0 AND   
  EPL-1.0 AND   
  MPL-1.1 AND   
  Apache-1.1",NOASSERTION
eclipse-sua-2005.license,SPDXRef-item4953,NOASSERTION,,"  
  CPL-1.0 AND   
  EPL-1.0 AND   
  MPL-1.1 AND   
  Apache-2.0 AND       
  LicenseRef-scancode-eclipse-sua-2005 AND   
  Apache-1.1",NOASSERTION
eclipse-sua-2010.license,SPDXRef-item4438,NOASSERTION,,"  
  Apache-2.0 AND   
  Apache-1.1 AND   
  MPL-1.1 AND   
  EPL-1.0 AND       
  LicenseRef-scancode-eclipse-sua-2010 AND   
  CPL-1.0",NOASSERTION
eclipse-sua-2011.license,SPDXRef-item3556,NOASSERTION,,"  
  CPL-1.0 AND   
  MPL-1.1 AND       
  LicenseRef-scancode-eclipse-sua-2011 AND   
  Apache-1.1 AND   
  Apache-2.0 AND   
  EPL-1.0",NOASSERTION
eclipse-sua-2014-11.license,SPDXRef-item3333,NOASSERTION,,"  
  Apache-1.1 AND   
  EPL-2.0 AND   
  CPL-1.0 AND   
  Apache-2.0 AND       
  LicenseRef-scancode-eclipse-sua-2014-11 AND   
  EPL-1.0 AND   
  MPL-1.1",NOASSERTION
eclipse-sua-2014.license,SPDXRef-item4566,NOASSERTION,,"  
  CPL-1.0 AND   
  MPL-1.1 AND   
  Apache-2.0 AND   
  Apache-1.1 AND   
  EPL-1.0 AND       
  LicenseRef-scancode-eclipse-sua-2014",NOASSERTION
eclipse-sua-2017.license,SPDXRef-item4950,NOASSERTION,,"  
  EPL-1.0 AND   
  EPL-2.0 AND       
  LicenseRef-scancode-eclipse-sua-2017 AND   
  Apache-2.0 AND   
  MPL-1.1 AND   
  Apache-1.1 AND   
  CPL-1.0",NOASSERTION
ecma-documentation.license,SPDXRef-item4889,NOASSERTION,,"      
  LicenseRef-scancode-ecma-documentation",NOASSERTION
ecma-no-patent.license,SPDXRef-item5011,NOASSERTION,,"      
  LicenseRef-scancode-ecma-no-patent AND   
  BSD-3-Clause",NOASSERTION
ecma-patent-coc-0.license,SPDXRef-item3366,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-ecma-patent-coc-0",NOASSERTION
ecma-patent-coc-1.license,SPDXRef-item3286,NOASSERTION,,"      
  LicenseRef-scancode-ecma-patent-coc-1 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
ecma-patent-coc-2.license,SPDXRef-item3978,NOASSERTION,,"      
  LicenseRef-scancode-ecma-patent-coc-2 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
ecos-exception-2.0.license,SPDXRef-item3257,NOASSERTION,,"  
  eCos-exception-2.0 AND   
  GPL-2.0-or-later AND   
  GPL-2.0-only",NOASSERTION
ecos.license,SPDXRef-item2894,NOASSERTION,,"  
  GPL-2.0-or-later AND   
  LicenseRef-fossology-eCos-2.0 AND   
  eCos-exception-2.0",NOASSERTION
ecosrh-1.0.license,SPDXRef-item2946,NOASSERTION,,"  
  LicenseRef-fossology-Cygnus-eCos-1.0 AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-ecosrh-1.0",NOASSERTION
ecosrh-1.1.license,SPDXRef-item4047,NOASSERTION,,"  
  eCos-exception-2.0 AND   
  GPL-2.0-or-later AND   
  RHeCos-1.1 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
edrdg-2000.license,SPDXRef-item3322,NOASSERTION,,"  
  CC-BY-SA-3.0 AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-proprietary-license AND   
  CC-BY-SA-4.0 AND   
  GPL-1.0-or-later AND   
  LicenseRef-fossology-GPL",NOASSERTION
efl-1.0.license,SPDXRef-item3352,NOASSERTION,,"  
  EFL-1.0 AND   
  EFL-2.0 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
efl-2.0.license,SPDXRef-item4718,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  EFL-2.0",NOASSERTION
efsl-1.0.license,SPDXRef-item4665,NOASSERTION,,"  
  EPL-2.0 AND       
  LicenseRef-scancode-efsl-1.0 AND   
  LicenseRef-fossology-W3C-style",NOASSERTION
egenix-1.0.0.license,SPDXRef-item4715,NOASSERTION,,"      
  LicenseRef-scancode-egenix-1.0.0 AND       
  LicenseRef-scancode-unknown-license-reference AND   
  eGenix",NOASSERTION
egenix-1.1.0.license,SPDXRef-item3096,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  eGenix",NOASSERTION
egrappler.license,SPDXRef-item4043,NOASSERTION,,"      
  LicenseRef-scancode-egrappler AND   
  LicenseRef-fossology-See-URL",NOASSERTION
ej-technologies-eula.license,SPDXRef-item4840,NOASSERTION,,"      
  LicenseRef-scancode-ej-technologies-eula AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
ekiga-exception-2.0-plus.license,SPDXRef-item5068,NOASSERTION,,"      
  LicenseRef-scancode-ekiga-exception-2.0-plus AND   
  GPL-2.0-or-later AND   
  GPL-2.0-only",NOASSERTION
ekioh.license,SPDXRef-item3583,NOASSERTION,,"  
  MIT-0",NOASSERTION
elastic-license-2018.license,SPDXRef-item3435,NOASSERTION,,"  
  Apache-2.0 AND       
  LicenseRef-scancode-elastic-license-2018 AND   
  Elastic-2.0 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
elastic-license-v2.license,SPDXRef-item5176,NOASSERTION,,"  
  Elastic-2.0 AND   
  LicenseRef-fossology-See-URL",NOASSERTION
elib-gpl.license,SPDXRef-item3400,NOASSERTION,,"      
  LicenseRef-scancode-elib-gpl AND   
  GPL-1.0-or-later AND   
  GPL-1.0-only",NOASSERTION
ellis-lab.license,SPDXRef-item4972,NOASSERTION,,"  
  LicenseRef-fossology-BSD-style AND       
  LicenseRef-scancode-ellis-lab",NOASSERTION
embedthis-evaluation.license,SPDXRef-item4705,NOASSERTION,,"      
  LicenseRef-scancode-proprietary-license AND   
  LicenseRef-fossology-Non-commercial AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
embedthis-extension.license,SPDXRef-item3640,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  MIT",NOASSERTION
embedthis-tou-2022.license,SPDXRef-item4805,NOASSERTION,,"  
  GPL-1.0-or-later AND       
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-GPL",NOASSERTION
emit.license,SPDXRef-item5089,NOASSERTION,,"  
  GPL-1.0-or-later AND   
  LicenseRef-fossology-LGPL AND       
  LicenseRef-scancode-emit AND   
  MIT AND   
  LicenseRef-fossology-GPL",NOASSERTION
emx-library.license,SPDXRef-item3619,NOASSERTION,,"  
  LicenseRef-fossology-GPL AND       
  LicenseRef-scancode-emx-library",NOASSERTION
energyplus-bsd.license,SPDXRef-item2882,NOASSERTION,,"      
  LicenseRef-scancode-energyplus-bsd AND   
  BSD-3-Clause",NOASSERTION
energyplus.license,SPDXRef-item3971,NOASSERTION,,"  
  BSD-2-Clause AND   
  BSD-3-Clause",NOASSERTION
enhydra-1.1.license,SPDXRef-item2872,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-enhydra-1.1 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
